time (milliseconds),x,y,z,total,mx,my
0,180,103,972,994,301,96
10,185,110,972,996,299,100
20,183,111,973,996,299,101
30,173,103,982,1003,301,97
40,177,107,972,994,301,103
50,183,98,974,995,299,102
60,177,109,980,1002,299,103
70,186,98,978,1001,299,96
80,179,104,973,995,300,98
90,179,98,983,1004,304,101
100,184,106,980,1002,304,96
110,179,101,981,1002,302,98
120,182,98,977,999,300,104
130,184,112,982,1005,299,101
140,177,98,983,1003,298,96
150,182,106,986,1008,303,98
160,173,108,982,1003,301,100
170,183,97,985,1007,297,100
180,180,109,975,997,298,98
190,179,111,972,995,300,103
200,181,98,985,1006,299,97
210,175,104,971,992,302,96
220,187,104,972,995,300,103
230,187,108,972,996,302,102
240,187,106,984,1007,299,100
250,187,105,973,997,304,102
260,185,106,981,1004,303,103
270,176,103,972,993,300,101
280,176,104,982,1003,302,103
290,179,111,984,1006,300,97
300,574,-2943,8000,8543,314,98
310,924,-2385,7600,8019,294,89
320,-2954,1127,7200,7864,265,118
330,7,-348,6800,6809,327,78
340,507,364,1769,1876,256,-142
350,523,409,1894,2007,379,-130
360,566,395,1942,2060,484,-61
370,562,365,2014,2122,541,35
380,598,419,1888,2024,546,170
390,560,402,1945,2063,469,269
400,566,336,1779,1897,380,330
410,499,321,1702,1803,246,347
420,520,346,1659,1772,143,283
430,469,341,1567,1671,82,194
440,472,279,1485,1582,62,64
450,418,278,1486,1568,109,-42
460,519,346,1612,1729,193,-115
470,548,377,1729,1852,309,-135
480,503,336,1753,1855,420,-92
490,587,413,1937,2066,502,-17
500,566,416,1898,2024,524,102
510,530,334,1823,1927,503,218
520,490,325,1705,1804,428,302
530,488,303,1628,1727,311,322
540,452,269,1555,1642,209,309
550,408,321,1509,1596,117,238
560,400,279,1448,1528,76,121
570,411,314,1384,1477,104,13
580,472,291,1427,1531,156,-73
590,482,279,1563,1659,269,-118
600,477,300,1696,1787,361,-98
610,514,348,1735,1842,464,-45
620,544,371,1697,1820,500,50
630,548,326,1775,1886,509,160
640,554,357,1715,1838,463,245
650,463,330,1594,1693,375,309
660,479,314,1493,1599,256,313
670,441,300,1472,1565,172,253
680,403,244,1390,1468,100,166
690,425,257,1291,1383,101,83
700,406,264,1328,1413,137,-20
710,400,278,1346,1432,220,-88
720,416,278,1534,1614,320,-105
730,505,330,1551,1664,402,-73
740,546,367,1722,1843,472,3
750,510,373,1692,1806,493,99
760,487,352,1642,1748,477,196
770,494,323,1514,1625,414,271
780,435,268,1448,1536,311,298
790,383,244,1376,1449,220,273
800,330,232,1211,1276,135,216
810,358,214,1248,1316,102,116
820,378,220,1264,1337,131,37
830,418,287,1255,1354,176,-52
840,412,276,1357,1444,275,-79
850,449,286,1464,1558,358,-75
860,497,352,1581,1694,431,-19
870,492,294,1564,1666,479,50
880,418,269,1553,1631,483,150
890,422,274,1452,1537,437,217
900,399,272,1405,1486,365,278
910,388,233,1333,1408,267,285
920,339,261,1187,1262,184,232
930,358,239,1221,1295,141,168
940,324,249,1136,1207,117,77
950,375,218,1197,1273,169,6
960,395,251,1228,1314,235,-54
970,410,248,1350,1432,318,-73
980,430,302,1423,1517,399,-43
990,454,280,1426,1522,444,27
1000,408,307,1421,1510,465,95
1010,430,282,1370,1463,439,183
1020,438,251,1409,1497,380,249
1030,350,238,1195,1268,312,266
